Ticker,Name,R&D Exp:CY,CAPEX:CY,Tot Assets:CY,Debt/Assets:CY,Curr Ratio:CY,EBIT:CY,ROA:CY,AZS
AMOD US Equity,ALPHA MODUS HOLDINGS INC,0,0,12353755,0,0.3211,-2862528,-0.5063, 
AWE LN Equity,ALPHAWAVE IP GROUP PLC,78216000,-18568000,866585024,27.3551,2.197,-19352000,-5.7631,6.8273
NPA/H CN Equity,ALPHINAT INC, ,-1200,606490,20.4107,0.4803,217622,25.9536, 
ALTR US Equity,ALTAIR ENGINEERING INC - A,212644992,-10193000,1363492992,18.8764,2.1617,243000,-0.6951,10.4062
ALC SM Equity,ALTIA CONSULTORES SA,0,-1376591,153157536,15.8926,1.4435,20937480,10.3545,7.1233
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,4651000,-594000,17705000,3.4792,1.9441,-580000,-4.0067,-1.8006
ALT LN Equity,ALTITUDE GROUP PLC,466000,-223000,14495000,1.3177,1.9937,374000,4.9157,4.4143
AHIX US Equity,ALUF HOLDINGS INC, ,-40800,5913100,21.8312,0.8204,-3418700,-49.1929,-3.6742
ALAMA FP Equity,AMA CORP PLC, ,-54000,12753000,18.2859,2.7071,-8095000,-60.8916,-5.487
AMBA US Equity,AMBARELLA INC,215052000,-11977000,657654976,0.8118,3.3762,-154560000,-24.7713,11.1046
DOX US Equity,AMDOCS LTD,360798016,-105495000,6386142208,12.3664,1.2041,628608000,7.6991,7.0809
AMTM US Equity,AMENTUM HOLDINGS INC, ,-11000000,11973999616,39.0763,1.5695,291000000,-0.8919, 
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,0,0,451099,0,9.2295,-209169,-41.8181, 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , , 
ATVK US Equity,AMERITEK VENTURES,0,-100000,40578,1240.0414,0.0638,-432612, ,-313.9126
AMT CN Equity,AMERITRUST FINANCIAL TECHNOL,0,-463819,6864855,74.9204,0.1387,-10564129,-172.2686,-39.9244
AMST US Equity,AMESITE INC,1074328,-1166,3314177,0,3.262,-4579651,-91.1261,-21.4207
AMIDO SS Equity,AMIDO AB, ,-675436,49289128,0,1.9667,-13181301,-27.3663, 
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, , ,21700,5.4286,18.4211, , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,177472992,-749467008,6771125248,19.9623,2.3083,470287008,5.2941,3.4912
AMPD CN Equity,AMPD VENTURES INC, , ,699714,0,1.1001, , , 
AMPG US Equity,AMPLITECH GROUP INC,2341845,-973349,31407628,12.2374,11.4371,-2577536,-7.242,-0.0527
AMPL US Equity,AMPLITUDE INC-CLASS A,90138000,-3183000,433684000,1.885,2.8721,-102520000,-21.3261,3.5947
AMS SW Equity,AMS-OSRAM AG,480000000,-1049000000,7401999872,33.2072,1.0672,-1406000000,-19.883,-0.1157
ASYS US Equity,AMTECH SYSTEMS INC,4193000,-4878000,118953000,14.8563,3.2847,-6729000,-6.6304,2.0924
ADI US Equity,ANALOG DEVICES INC,1487863040,-730462976,48228278272,16.5222,1.8354,2032797952,3.3709,7.9915
ALY CN Equity,ANALYTIXINSIGHT INC,0,0,4143696,0.3273,1.7551,-4021473,-60.0718,-2.9867
ANDI US Equity,ANDIAMO CORP, , , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,460318,-10864,877881,321.4054,1.0174,-323117,-28.5846,-156.513
ANKM US Equity,ANKAM,0,0,446030,33.5538,0.3593,-55291,-24.2023, 
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,282284,-84408,3743869,2.671,0.6077,-2624824,-122.9613,-437.6553
ANOT SS Equity,ANOTO GROUP AB,130349000,-258000,143615008,16.9112,0.7822,-68326000,-44.0636,-39.9016
ANSS US Equity,ANSYS INC,494868992,-25318000,7322874880,11.9857,2.3047,626134976,7.1432,14.1682
ATEX US Equity,ANTERIX INC,5697000,-307000,324894016,1.6301,4.0672,-10122000,-3.0253,-4.2767
AAQL US Equity,ANTIAGING QUANTUM LIVING INC, ,-224248,1012410,13.3249,0.2573,-413017,-81.5098, 
ATSI SM Equity,APLICACIONES Y TRATAMIENTOS, ,-827320.6875,60507444,12.4116,1.9183,9611342,12.523,6.3815
APPF US Equity,APPFOLIO INC - A,151364000,-9041000,408888992,10.9418,3.9039,963000,0.684,50.6376
APPN US Equity,APPIAN CORP-A,153098000,-9637000,627502976,44.1996,1.1163,-107973000,-18.2433,1.6642
AAPL US Equity,APPLE INC,31370000384,-9447000064,364980011008,32.6207,0.8673,123216003072,26.1262,8.7424
AMAT US Equity,APPLIED MATERIALS INC,3232999936,-1190000000,34409000960,19.1956,2.5059,7866999808,22.0363,10.475
AAOI US Equity,APPLIED OPTOELECTRONICS INC,35975000,-9079000,389185984,31.1093,1.8489,-41349000,-14.0568,0.9554
AUVIQ US Equity,APPLIED UV INC,552220,-4598597,58386232,13.3846,0.6108,-19568840,-28.9833,-4.4607
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,0,0,161691,647.088,0.0274,-4956905,-3157.0664, 
ASFT US Equity,APPSOFT TECHNOLOGIES INC,0,0,8,4906787.5,0.0003,-50899,-776030.75, 
SWRM US Equity,APPSWARM INC, ,0,591893,52.2316,0.1918,-1422167,-269.1753,-13.8536
APTY US Equity,APT SYSTEMS INC, ,0,12462,1022.7893,0.0313,-179660,-3141.616, 
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC, ,-601000,119413000,9.5492,1.1054,5285000,3.4721,4.271
AHCD US Equity,ARCHIVALCD INC, , , , , , , , 
ALJXR FP Equity,ARCHOS, ,-328000,26138000,44.1924,1.3167,-1345000,-11.4675, 
ARC LN Equity,ARCONTECH GROUP PLC,521853,-12055,10560743,5.0912,4.3581,869691,10.8977,5.6785
ARGEO NO Equity,ARGEO ASA, ,-21064000,71602000,35.1904,0.6611,-13663000,-32.4404,0.6638
ARGH CN Equity,ARGO CORP,606765,-26900,25702284,51.329,0.0351,-14756881,3.1732,-7.3797
ANET US Equity,ARISTA NETWORKS INC,854918016,-34434000,9946806272,0.6587,4.3937,2257249024,24.9646,22.9934
ARLO US Equity,ARLO TECHNOLOGIES INC,68647000,-2847000,285537984,7.4358,1.5518,-24903000,-7.9019,3.2253
ARM US Equity,ARM HOLDINGS PLC-ADR,1979000064,-92000000,7927000064,2.7879,2.7887,111000000,4.1371,45.5542
ARMM US Equity,ARMM INC, , ,622598,0,0.0996, , , 
ARQQ US Equity,ARQIT QUANTUM INC,0,-6000,26719000,3.7052,1.9433,-24690000,-86.2913,-4.4131
3664 TT Equity,ARRAY INC,99167000,-6647000,800531008,6.648,2.0574,3478000,-3.7635,1.9083
ARR NO Equity,ARRIBATEC GROUP ASA, ,-2693000,501544992,13.784,0.8957,-23844000,-4.5336, 
ARW US Equity,ARROW ELECTRONICS INC,0,-83285000,21726167040,18.8337,1.3897,1471164032,4.1551,2.7702
A6T GR Equity,ARTEC TECHNOLOGIES AG, , ,3315992,8.8656,1.8525,-9708.7402,0.4532,0.3405
AIP US Equity,ARTERIS INC,45128000,-1503000,102801000,4.2714,1.2592,-35142000,-33.7757,-0.5623
ARWY CN Equity,ARWAY CORP,391912,0,235188,0,0.1648,-2425494,-837.891,-193.1393
TLIK GR Equity,ARZNEIWERK AG VIDA,0,-127000,11815000,96.4706,0.5857,-2425000,-22.0091,1.2286
ASAN US Equity,ASANA INC - CL A,324688000,-7721000,961960000,28.887,1.7965,-269996992,-26.8169,-0.2
ASB PW Equity,ASBISC ENTERPRISES PLC, ,-16384000,1012478016,20.9048,1.3014,112493000,5.1106,4.4169
ASCN SW Equity,ASCOM HOLDING AG-REG,26600000,-4500000,197200000,0,1.6131,20200000,8.7218,5.6928
ASTK DC Equity,ASETEK A/S,7379000, ,102739000,0.7904,0.905,9403000,6.618,2.3286
ASGN US Equity,ASGN INC,0,-39900000,3544600064,31.1798,2.4697,364100000,6.1512,8.2798
ASM NA Equity,ASM INTERNATIONAL NV,410240000,-154103008,4226726912,0.7939,2.4485,653740992,18.8548, 
ASML NA Equity,ASML HOLDING NV,3980600064,-2155599872,39957499904,11.7082,1.4989,9042299904,20.5592, 
AZPN US Equity,ASPEN TECHNOLOGY INC,206114000,-4615000,14071706624,0.6964,2.5965,-89540000,-0.0684,8.5888
ACG1V FH Equity,ASPOCOMP GROUP OYJ, ,-2655000,26193000,7.502,1.836,-1741000,-5.6815,2.2341
APYI US Equity,ASPYRA INC,1826787,-23337,15164558,23.761,0.322,-4126212,-32.5028,-18.3644
ASY FP Equity,ASSYSTEM, ,-5000000,826300032,14.7041,1.1734,41300000,13.0293,2.5192
ALAB US Equity,ASTERA LABS INC,73407000,-2761000,196292000,0,5.2968,-29497000,-12.8704,53.9992
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , , 
ALOT US Equity,ASTRONOVA INC,6906000,-875000,133251000,16.8404,2.5763,8796000,3.4457,3.448
ASUR US Equity,ASURE SOFTWARE INC,6846000,-8612000,443868000,2.3514,1.1072,-2999000,-2.1334,-0.6503
ATEA NO Equity,ATEA ASA,0,-322000000,18634999808,11.2906,0.9252,1244000000,4.3844,4.2124
ATEME FP Equity,ATEME SA,24397000,-2068000,108045000,31.4656,1.8477,-2404000,-3.8133,1.534
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,1432633,-83145,6580220,0.7279,1.0984,-3190058,-299.2124,-112.9792
ATOM US Equity,ATOMERA INC,12525000,-31000,24029000,15.1359,5.3498,-20677000,-77.9779,-1.3025
ATO FP Equity,ATOS SE,0,-205000000,11294000128,48.4859,0.9195,-3105999872,-24.8555,-1.5491
AOF GR Equity,ATOSS SOFTWARE SE,23628104,-1871626,114398696,12.4829,2.4864,52130216,34.9446,21.5941
AUB FP Equity,AUBAY, ,-1805000,457558016,4.9015,1.7228,42329000,7.3964,4.0363
AUUD US Equity,AUDDIA INC,781017,-2409,4403048,68.7024,0.2094,-7476368,-167.5293,-31.6705
AEYE US Equity,AUDIOEYE INC,6989000,-171000,25495000,29.2724,1.2816,-5965000,-23.5242,-1.5342
3ITN GR Equity,AUDIUS SE, ,-1051000,36666408,9.0856,2.8587,5743000,9.2773,7.5839
ATS AV Equity,AUSTRIA TECHNOLOGIE & SYSTEM,155446000,-858790976,4674896896,45.3579,1.1098,31121000,-1.2266,0.5961
ACAG GA Equity,AUSTRIACARD HOLDINGS AG,7360000,-11065000,321688000,36.9526,1.6606,31405000,5.3429,2.9739
AHRO US Equity,AUTHENTIC HOLDINGS INC,56858,0,5418043,38.3653,0.1111,-660910,-54.1119,-94.7095
AUID US Equity,AUTHID INC,2800373,0,15411913,1.4562,6.5486,-10748136,-156.5424,2.4595
ADSK US Equity,AUTODESK INC,1372999936,-31000000,9912000512,26.4931,0.8226,1128000000,9.3643,6.1318
AATC US Equity,AUTOSCOPE TECHNOLOGIES CORP,2577000,-6000,25647000,6.375,12.3553,4613000,28.3441,9.3319
AUTO NO Equity,AUTOSTORE HOLDINGS LTD, ,-15500000,2131800064,23.0697,2.2271,-13600000,-1.5625,6.5476
AV2 GR Equity,AVEMIO AG,0, ,166280.2656,0,35.2228,-6814.25,-3.936,16164.8839
AVEN SS Equity,AVENSIA AB, ,-770000,198262000,36.5955,0.9876,-1777000,-2.4932,4.0266
AVPT US Equity,AVEPOINT INC,36340000,-2087000,442582016,3.3259,1.8429,-15351000,-5.0634,4.9481
AVNW US Equity,AVIAT NETWORKS INC,36426000,-2675000,535223008,9.749,1.8515,19401000,2.3955,0.1342
AVDX US Equity,AVIDXCHANGE HOLDINGS INC,97555000,-2254000,2483737088,5.7866,1.2546,-53501000,-2.0157,0.4339
AVSR US Equity,AVISTAR COMMUNICATIONS CORP,5737000,-72000,5163000,174.3173,0.33,-6223000,-152.5448,-58.4292
AVIX US Equity,AVIX TECHNOLOGIES INC, ,-227400,3258000,14.2419,0.3984,-3239810,-102.0812, 
AVT US Equity,AVNET INC,0,-226478000,12209146880,25.6137,2.3225,844366976,4.0403,3.5609
AVSALT SS Equity,AVSALT GROUP AB, ,0,234015,0,0.3233,-20669296,-199.4859,-44.2586
AWRE US Equity,AWARE INC/MASS,9124000,-16000,46296000,9.6661,4.7455,-8540000,-15.0049,0.0292
ACLS US Equity,AXCELIS TECHNOLOGIES INC,96907000,-20656000,1281966976,5.9196,3.7877,265795008,21.4551,8.2571
AXTI US Equity,AXT INC,12081000,-10475000,358700992,15.5366,2.0925,-21569000,-4.9072,1.0278
AIX NO Equity,AYFIE GROUP AS,0,0,10503000,0,0.8061,-25826000,-132.9544,-4.5783
BEC IM Equity,B&C SPEAKERS SPA,0,-1105883,86348016,25.761,2.6695,19531452,16.8238,6.3273
DTD2 GR Equity,B+S BANKSYSTEME AG,0,-6000,26217000,22.9508,0.8628,1748000,4.8144,1.9436
SCDA US Equity,B-SCADA INC, , , , , , , , 
B3 SS Equity,B3 CONSULTING GROUP AB,0,-4600000,632600000,27.0313,0.8214,86100000,9.637,3.4574
BLZE US Equity,BACKBLAZE INC-A,39527000,-5512000,131687000,31.7655,0.6747,-57905000,-42.0299,-1.4109
AO9 GR Equity,BACKBONE TECHNOLOGY AG-BR, , ,2793356.25, ,0.002, , , 
BP/H CN Equity,BACKSTAGEPLAY INC,0,0,22821.2305,0,0.0864,-58740.4141,-139.8603,-446.147
BUSER SS Equity,BAMBUSER AB,98650000,-189000,374375008,0,5.4314,-284007008,-52.9676,-4.1322
BAND US Equity,BANDWIDTH INC-CLASS A,104188000,-19899000,1101048064,58.5385,2.0589,-35457000,-1.6099,1.492
BO DC Equity,BANG & OLUFSEN A/S,315000000,-55000000,2296999936,26.0775,1.2968,18000000,-0.7262,2.3431
BGO LN Equity,BANGO PLC, ,-275000,69673000,12.5658,0.82,-5145000,-12.5004,-0.6547
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK, , , , , , , ,-3.0557
BSL GR Equity,BASLER AG,32956000,-1922000,255755008,34.7477,2.959,-21902000,-5.2973,3.9064
BSSP US Equity,BASSLINE PRODUCTIONS INC, , , , , , , , 
BESI NA Equity,BE SEMICONDUCTOR INDUSTRIES,77540000,-6899000,896553024,35.5986,5.0155,213392000,17.4317,24.7077
BEAMMWB SS Equity,BEAMMWAVE-B AB, ,-140819,60068400,0,2.9072,-20990952,-29.8141, 
BC8 GR Equity,BECHTLE AG,0,-101178000,3803188992,19.3006,1.8624,380732992,7.3234,5.397
BKS LN Equity,BEEKS FINANCIAL CLOUD GROUP,0,-3882000,49498000,5.8467,2.0942,1583000,4.5244,6.8565
BHE US Equity,BENCHMARK ELECTRONICS INC,0,-73479000,2274755072,20.662,2.2924,109664000,2.8571,3.4918
BSY US Equity,BENTLEY SYSTEMS INC-CLASS B,274619008,-25002000,3319849984,47.3116,0.5518,230542000,10.0785,6.0192
BSS GR Equity,BETA SYSTEMS SOFTWARE AG,16429000,-1490000,63803000,15.54,1.5167,7928000,7.6668,3.4744
BEW CN Equity,BEWHERE HOLDINGS INC,681647,-10635,9771526,4.6622,4.0291,881355,6.0012,9.2883
BYOC US Equity,BEYOND COMMERCE INC, ,-96155,1204340,463.3686,0.0445,-6903872,-774.3975, 
BOIL CN Equity,BEYOND OIL LTD,866345.0625,-21591.1543,5642030.5,0.8193,0.7886,-3333134.25,-53.4038,-1.0629
BIG LN Equity,BIG TECHNOLOGIES PLC,2326000,-508000,134958000,1.373,14.5769,16406000,14.1717,28.5348
BBAI US Equity,BIGBEAR.AI HOLDINGS INC,5035000,-2000,199910000,99.9525,0.9294,-39034000,-30.5482,-6.6632
BIG FP Equity,BIGBEN INTERACTIVE,458000,-4209000,650915968,32.2722,1.5031,23780000,2.1413, 
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,83460000,-4179000,444057984,78.889,4.8337,-72444000,-14.0878,-1.0089
BIGG CN Equity,BIGG DIGITAL ASSETS INC,1299412,-60855,124189056,0.0472,1.1316,-15653986,-11.5527,-1.2068
BSGC US Equity,BIGSTRING CORP,775021,0,276817,86.736,0.4741,-769837,374.3655,-166.1462
BILL US Equity,BILL HOLDINGS INC,336753984,-20893000,9178813440,10.6424,1.5542,-174164000,-0.307,0.9178
MA10 GR Equity,BINECT AG, ,-1116764.375,12234269,5.8706,2.1398,353147.7188,0.8217,4.9667
VISN/H CN Equity,BINOVI TECHNOLOGIES CORP,125236,0,1083992,0,0.3215,-5319461,-246.9936,-45.274
BKYI US Equity,BIO-KEY INTERNATIONAL INC,2394926,-1000,4517035,5.0169,0.816,-8826317,-107.4545,-38.9233
BIOEX SS Equity,BIOEXTRAX AB, ,-1100000,22515000,0,7.4563,-21599000,-71.1775,32.2124
BRGX US Equity,BIOREGENX INC, ,0,31640,712.2946,0,-109663,-1258.2383,-53.4049
BTGN US Equity,BITCOIN GENERATION INC,0,0,53750,379.2968,0.0688,-1607224,-1518.6274, 
BITTI FH Equity,BITTIUM OYJ,20229000,-329000,157659008,14.3144,1.513,-4328000,-3.3185,6.2155
BKTI US Equity,BK TECHNOLOGIES CORP, ,-2117000,49408000,16.8637,1.822,-777000,-4.5399,4.3228
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , , 
BLKB US Equity,BLACKBAUD INC,153304000,-64128000,2912279040,28.3781,0.7767,44705000,0.0616,3.1061
BB CN Equity,BLACKBERRY LTD,186000000,-7000000,1395000064,18.0645,1.427,-125000000,-8.458,-1.8284
BIRD LN Equity,BLACKBIRD PLC, ,-44096,9902304,0,6.574,-2927399,-22.2309,5.876
BL US Equity,BLACKLINE INC,103207000,-5953000,2100765056,55.2768,2.1902,14348000,2.6126,2.7586
